# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.166250000000000E+09;8.015784193515374E-01;-3.055168386313635E-01;8.320271262710395E-01;-2.203038904574386E-01;1.352486991905886E-03;8.340728416873476E-04;
2.167500000000000E+09;7.840644768606287E-01;-3.475815070739972E-01;8.190656067668094E-01;-2.639387692336307E-01;1.379231944505346E-03;7.813362281843311E-04;
2.168750000000000E+09;7.644436465689365E-01;-3.889093290476143E-01;8.037472646279227E-01;-3.068007207654856E-01;1.420087744394071E-03;7.454542147551931E-04;
2.170000000000000E+09;7.422570697919200E-01;-4.289737736946037E-01;7.863458223718299E-01;-3.487610721449123E-01;1.466313432438474E-03;6.740917012427645E-04;
2.171250000000000E+09;7.180601828596048E-01;-4.677544723898977E-01;7.665092554985552E-01;-3.897423244485143E-01;1.553735099896510E-03;6.536776113849740E-04;
2.172500000000000E+09;6.916125431226098E-01;-5.054844531860745E-01;7.446315845510401E-01;-4.298095725589319E-01;1.607319428279078E-03;5.851774633288913E-04;
2.173750000000000E+09;6.634267840290881E-01;-5.417161998984026E-01;7.204447210919951E-01;-4.683547302535715E-01;1.679644386949407E-03;4.566528764727580E-04;
2.175000000000000E+09;6.330747816770951E-01;-5.763788665617449E-01;6.941680397260506E-01;-5.059921900343051E-01;1.745579516885161E-03;3.810599934957304E-04;
2.176250000000000E+09;6.009139329253389E-01;-6.094722174458410E-01;6.659548372257069E-01;-5.420081765368837E-01;1.787387201949223E-03;2.477861093721296E-04;
2.177500000000000E+09;5.669716062336915E-01;-6.406746266465652E-01;6.359689491646566E-01;-5.766932723625076E-01;1.764724863217754E-03;1.163370224933238E-04;
2.178750000000000E+09;5.313994782980361E-01;-6.700561758103047E-01;6.042584546651917E-01;-6.095469616220592E-01;1.803281292804288E-03;6.844283493732755E-05;
2.180000000000000E+09;4.945230810006788E-01;-6.974488024119467E-01;5.703109785024083E-01;-6.408153487723904E-01;1.816121670244650E-03;-6.300078465292530E-05;
2.181250000000000E+09;4.562271373287469E-01;-7.227706487342672E-01;5.353350960439437E-01;-6.701018467538919E-01;1.818586812012890E-03;-1.553757007443628E-04;
2.182500000000000E+09;4.165259108136827E-01;-7.463020317484852E-01;4.983559903021624E-01;-6.974996173206879E-01;1.849880901291409E-03;-2.549120150162363E-04;
